ID,File,ResourceType,Category,ExpectedCI,ActualCI,ExpectedAdmission,ActualAdmission,ViolatedPolicies,FinalStatus
D-01,deployment-good.yaml,Deployment,Compliant,PASS,PASS,ALLOWED,ALLOWED,None,CORRECT
D-02,deployment-minimal.yaml,Deployment,Compliant,PASS,PASS,--,--,None,CORRECT
D-03,deployment-multi-container.yaml,Deployment,Compliant,PASS,PASS,--,--,None,CORRECT
D-04,statefulset-good.yaml,StatefulSet,Compliant,PASS,PASS,--,--,None,CORRECT
D-05,job-good.yaml,Job,Compliant,PASS,PASS,--,--,None,CORRECT
D-30,deployment-no-privileged-field.yaml,Deployment,Compliant,PASS,PASS,--,--,None,CORRECT
D-31,deployment-sha-digest.yaml,Deployment,Compliant,PASS,PASS,--,--,None,CORRECT
D-32,deployment-extra-security-fields.yaml,Deployment,Compliant,PASS,PASS,--,--,None,CORRECT
D-34,deployment-init-container.yaml,Deployment,Compliant,PASS,PASS,--,--,None,CORRECT
D-06,deployment-root.yaml,Deployment,Single-violation,FAIL,FAIL,REJECTED,REJECTED,P1,CORRECT
D-07,deployment-priv-escalation.yaml,Deployment,Single-violation,FAIL,FAIL,REJECTED,REJECTED,P2,CORRECT
D-08,deployment-no-resources.yaml,Deployment,Single-violation,FAIL,FAIL,--,--,P3,CORRECT
D-09,deployment-latest-tag.yaml,Deployment,Single-violation,FAIL,FAIL,REJECTED,REJECTED,P4,CORRECT
D-10,deployment-privileged.yaml,Deployment,Single-violation,FAIL,FAIL,--,--,P5,CORRECT
D-11,deployment-no-tag.yaml,Deployment,Single-violation,FAIL,FAIL,--,--,P4,CORRECT
D-12,deployment-partial-resources.yaml,Deployment,Single-violation,FAIL,FAIL,--,--,P3,CORRECT
D-16,deployment-second-container-violation.yaml,Deployment,Single-violation,FAIL,FAIL,--,--,P4,CORRECT
D-17,statefulset-latest-tag.yaml,StatefulSet,Single-violation,FAIL,FAIL,--,--,P4,CORRECT
D-13,deployment-no-security-context.yaml,Deployment,Multi-violation,FAIL,FAIL,--,--,P1;P2,CORRECT
D-14,deployment-root-and-escalation.yaml,Deployment,Multi-violation,FAIL,FAIL,--,--,P1;P2,CORRECT
D-15,deployment-three-violations.yaml,Deployment,Multi-violation,FAIL,FAIL,--,--,P1;P2;P4,CORRECT
D-18,deployment-multi-container-mixed.yaml,Deployment,Multi-violation,FAIL,FAIL,--,--,P1;P3;P4,CORRECT
D-19,job-multi-violation.yaml,Job,Multi-violation,FAIL,FAIL,--,--,P1;P3;P4,CORRECT
D-20,deployment-multi-violation.yaml,Deployment,Multi-violation,FAIL,FAIL,REJECTED,REJECTED,P1;P2;P3;P4;P5,CORRECT
D-21,configmap.yaml,ConfigMap,Non-target,PASS,PASS,--,--,None,CORRECT
D-22,service.yaml,Service,Non-target,PASS,PASS,--,--,None,CORRECT
D-23,namespace.yaml,Namespace,Non-target,PASS,PASS,--,--,None,CORRECT
D-24,pod-negative-control.yaml,Pod,Non-target,PASS,PASS,--,--,None,CORRECT
D-33,cronjob-good.yaml,CronJob,Non-target,PASS,PASS,--,--,None,CORRECT
